"id","category","sortorder","fullname","shortname","idnumber","summary","summaryformat","format","showgrades","newsitems","startdate","enddate","marker","maxbytes","legacyfiles","showreports","visible","visibleold","groupmode","groupmodeforce","defaultgroupingid","lang","calendartype","theme","timecreated","timemodified","requested","enablecompletion","completionnotify","cacherev"
"225","22","60039","Doctoral Seminar in Research Methods II","Doctoral Seminar in Research Methods II",,,"1","topics","1","0","1421761043","0","0","0","0","0","1","1","0","0","0",,,,"1421761043","1421761043","0","0","0","1563799988"
"226","22","60038","Mathematics for Computer Science copia 3","Mathematics for Computer Science_3",,,"1","topics","1","0","1421761043","0","0","0","0","0","1","1","0","0","0",,,,"1421761043","1421761043","0","0","0","1563799988"
"227","22","60037","Doctoral Seminar in Research Methods II copia 1","Doctoral Seminar in Research Methods II_1",,,"1","topics","1","0","1421761043","0","0","0","0","0","1","1","0","0","0",,,,"1421761043","1421761043","0","0","0","1563799988"
"228","22","60036","Fundamentals of Probability","Fundamentals of Probability",,,"1","topics","1","0","1421761043","0","0","0","0","0","1","1","0","0","0",,,,"1421761043","1421761043","0","0","0","1566822983"
"229","22","60035","Dynamic Systems and Control","Dynamic Systems and Control",,,"1","topics","1","0","1421761043","0","0","0","0","0","1","1","0","0","0",,,,"1421761043","1421761043","0","0","0","1568974084"
"230","22","60034","Robust System Design","Robust System Design",,,"1","topics","1","0","1421761043","0","0","0","0","0","1","1","0","0","0",,,,"1421761043","1421761043","0","0","0","1563799988"
"232","22","60033","Markov copia 2","_2",,"Markov","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1422028876","1422028876","0","0","0","1563799988"
"235","22","60032","ninja RS Test copia 6","_6",,"ninja RS Test","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1558957037","1558957037","0","0","0","1563799988"
"236","22","60031","ninja RS 2805 copia 7","_7",,"ninja RS 2805","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1559054397","1559054397","0","0","0","1563799988"
"237","22","60030","statistica su WT",,,"statistica su WT","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1560783499","1560783499","0","0","0","1563799988"
"238","22","60029","prova 2",,,"prova 2","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1560784082","1560784082","0","0","0","1563799988"
"239","1","10002","Anti matter","AM","1234","<p>Questo corso è fuffa ma molto elaborato</p>","1","weeks","1","5","1562104800","1568160000","0","0","0","0","0","0","0","0","0",,,,"1562060963","1562060963","0","0","0","1563799988"
"240","22","60028","Epifania",,,"Epifania","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1562063172","1562063172","0","0","0","1563799988"
"244","22","60027","Statistics on Whoteach",,,"Statistics on Whoteach","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1562077805","1562077805","0","0","0","1563799988"
"245","22","60026","test 22",,,"test 22","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1562085406","1562085406","0","0","0","1563799988"
"246","22","60025","prova",,,"prova","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1562600483","1562600483","0","0","0","1563799988"
"247","22","60024","prova",,,"prova","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1562600494","1562600494","0","0","0","1563799988"
"248","1","10001","prov1231",,,"prov1231","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1562601242","1562601242","0","0","0","1563799988"
"249","22","60023","test01",,,"test01","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1563870821","1563870821","0","0","0","1563870823"
"250","22","60022","sbc",,,"sbc","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1565599613","1565599613","0","0","0","1565599615"
"251","22","60021","sbc",,,"sbc","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1565599846","1565599846","0","0","0","1565599848"
"252","22","60020","go",,,"go","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1565613315","1565613315","0","0","0","1565615454"
"254","22","60019","ANCORA",,,"ANCORA","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1565627910","1565627910","0","0","0","1565627912"
"255","22","60018","pv",,,"pv","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1565629770","1565629770","0","0","0","1565629773"
"256","22","60017","eridaje",,,"eridaje","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1565633910","1565633910","0","0","0","1565633912"
"257","22","60016","ridaje2",,,"ridaje2","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1565634216","1565634216","0","0","0","1565634218"
"258","22","60015","test",,,"test","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1565695481","1565695481","0","0","0","1565695483"
"259","22","60014","test2",,,"test2","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1565695745","1565695745","0","0","0","1565695747"
"260","22","60013","sbc",,,"sbc","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1565703351","1565703351","0","0","0","1565703354"
"261","22","60012","boh",,,"boh","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1565798540","1565798540","0","0","0","1565798542"
"262","22","60011","we",,,"we","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1566074533","1566074533","0","0","0","1566074536"
"263","22","60010","Data analitics",,,"Data analitics","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1566297827","1566297827","0","0","0","1566908976"
"264","22","60009","Data",,,"Data","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1566378938","1566378938","0","0","0","1566378940"
"265","22","60008","Corso",,,"Corso","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1566822965","1566822965","0","0","0","1566822967"
"266","22","60007","Machine Learning 101",,,"Machine Learning 101","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1566922275","1566922275","0","0","0","1566922277"
"267","22","60006","Machine Learning 101",,,"Machine Learning 101","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1566922294","1566922294","0","0","0","1566922296"
"268","22","60005","prova 2808",,,"prova 2808","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1566993964","1566993964","0","0","0","1566993967"
"269","22","60004","prova",,,"prova","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1567600474","1567600474","0","0","0","1567600476"
"270","22","60003","corso",,,"corso","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1568818488","1568818488","0","0","0","1568818491"
"271","22","60002","corso",,,"corso","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1568818906","1568818906","0","0","0","1568818908"
"272","22","60001","prova2",,,"prova2","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1568974075","1568974075","0","0","0","1568974078"
