"id","contenthash","pathnamehash","contextid","component","filearea","itemid","filepath","filename","userid","filesize","mimetype","status","source","author","license","timecreated","timemodified","sortorder","referencefileid"
"4727","cac1946dc69e2158e68969fe424c8e6e7a6a88d3","db99b7eda2d5a4f5146b07a81a3bb6692e45a803","5","user","draft","938973258","/","header.png","2","17556","image/png","0","O:8:""stdClass"":2:{s:6:""source"";s:10:""header.png"";s:8:""original"";s:216:""YTo2OntzOjk6ImNvbnRleHRpZCI7aToxO3M6OToiY29tcG9uZW50IjtzOjEyOiJ0aGVtZV9sYW1iZGEiO3M6NjoiaXRlbWlkIjtpOjA7czo4OiJmaWxlYXJlYSI7czo0OiJsb2dvIjtzOjg6ImZpbGVwYXRoIjtzOjE6Ii8iO3M6ODoiZmlsZW5hbWUiO3M6MTA6ImhlYWRlci5wbmciO30="";}","Admin Admin","allrightsreserved","1560176651","1560176653","0",NULL
"4728","da39a3ee5e6b4b0d3255bfef95601890afd80709","83a502750674a9172b9706208dad4f506827659c","5","user","draft","938973258","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1560176758","1560176758","0",NULL
"4730","da39a3ee5e6b4b0d3255bfef95601890afd80709","53fe25b5a19d377b7553019b696842b462ef68c0","5","user","draft","844503372","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1560176759","1560176759","0",NULL
"4734","6a62381c66684ab4cdb105a95a4ee8e8d6569574","16c062d236d414de995cd9f63c605edbe08674b0","5","user","draft","844503372","/","header.png","2","52570","image/png","0","O:8:""stdClass"":2:{s:6:""source"";s:10:""header.png"";s:8:""original"";s:216:""YTo2OntzOjk6ImNvbnRleHRpZCI7aToxO3M6OToiY29tcG9uZW50IjtzOjEyOiJ0aGVtZV9sYW1iZGEiO3M6NjoiaXRlbWlkIjtpOjA7czo4OiJmaWxlYXJlYSI7czo0OiJsb2dvIjtzOjg6ImZpbGVwYXRoIjtzOjE6Ii8iO3M6ODoiZmlsZW5hbWUiO3M6MTA6ImhlYWRlci5wbmciO30="";}","Admin Admin","allrightsreserved","1560176820","1560176820","0",NULL
"4735","ff0dc9ebf8510b301658b95a3c982832cd02920c","44e0a714b71ef9a71feda02a638e4fe4d0dbb1eb","1","core","preview","0","/thumb/","6a62381c66684ab4cdb105a95a4ee8e8d6569574",NULL,"3325","image/png","0",NULL,NULL,NULL,"1560176820","1560176820","0",NULL
"4736","6a62381c66684ab4cdb105a95a4ee8e8d6569574","6c59a251e8c9a3720bd2faa8b1964e63bb0483b8","5","user","draft","252273851","/","header.png","2","52570","image/png","0","O:8:""stdClass"":2:{s:6:""source"";s:10:""header.png"";s:8:""original"";s:216:""YTo2OntzOjk6ImNvbnRleHRpZCI7aToxO3M6OToiY29tcG9uZW50IjtzOjEyOiJ0aGVtZV9sYW1iZGEiO3M6NjoiaXRlbWlkIjtpOjA7czo4OiJmaWxlYXJlYSI7czo0OiJsb2dvIjtzOjg6ImZpbGVwYXRoIjtzOjE6Ii8iO3M6ODoiZmlsZW5hbWUiO3M6MTA6ImhlYWRlci5wbmciO30="";}","Admin Admin","allrightsreserved","1560176651","1560176820","0",NULL
"4737","da39a3ee5e6b4b0d3255bfef95601890afd80709","f6a903a12638e92707e3475828b24b0d958318cb","5","user","draft","252273851","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1560176824","1560176824","0",NULL
"4738","6a62381c66684ab4cdb105a95a4ee8e8d6569574","740228e4ca4fba9d545b392b3dacf33076f696d0","5","user","draft","243512998","/","header.png","2","52570","image/png","0","O:8:""stdClass"":2:{s:6:""source"";s:10:""header.png"";s:8:""original"";s:216:""YTo2OntzOjk6ImNvbnRleHRpZCI7aToxO3M6OToiY29tcG9uZW50IjtzOjEyOiJ0aGVtZV9sYW1iZGEiO3M6NjoiaXRlbWlkIjtpOjA7czo4OiJmaWxlYXJlYSI7czo0OiJsb2dvIjtzOjg6ImZpbGVwYXRoIjtzOjE6Ii8iO3M6ODoiZmlsZW5hbWUiO3M6MTA6ImhlYWRlci5wbmciO30="";}","Admin Admin","allrightsreserved","1560176651","1560176820","0",NULL
"4739","da39a3ee5e6b4b0d3255bfef95601890afd80709","2d9cebe5d5207ea3d273a9fbc8abc37989bd8429","5","user","draft","243512998","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1560176847","1560176847","0",NULL
"4741","da39a3ee5e6b4b0d3255bfef95601890afd80709","8113e9c39757fdae750d40f269807f946316a39e","5","user","draft","678277184","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1560176858","1560176858","0",NULL
